Proportion Habitable,Mean Species D,Mean Empty
0.75,1794.1,80.9
0.74,1772.0,78.0
0.73,1749.3,75.7
0.72,1719.9,80.1
0.71,1697.0,78.0
0.7,1675.3,84.9
0.69,1655.6,80.3
0.68,1619.3,84.8
0.67,1597.7,82.5
0.66,1569.2,80.2
0.65,1545.4,85.0
0.64,1517.0,84.0
0.63,1487.6,85.6
0.62,1464.1,84.6
0.61,1437.3,83.6
0.6,1411.0,86.0
0.59,1384.7,91.9
0.58,1358.3,93.7
0.57,1329.1,93.9
0.56,1302.7,88.3
0.55,1277.3,96.1
0.54,1246.3,97.0
0.53,1223.1,92.5
0.52,1201.7,96.6
0.51,1176.2,101.2
0.5,1143.9,107.3
0.49,1110.0,114.9
0.48,1076.9,108.8
0.47,1039.6,113.1
0.46,994.8,124.4
0.45,961.3,134.8
0.44,927.0,131.0
0.43,906.0,132.1
0.42,880.6,141.1
0.41,837.9,157.3
0.4,807.4,158.5
0.39,776.8,163.3
0.38,748.7,174.0
0.37,689.2,208.2
0.36,693.5,190.6
0.35,627.4,219.9
0.34,597.6,228.4
0.33,579.3,222.6
0.32,517.4,266.4
0.31,484.9,263.0
0.3,410.4,296.5
0.29,385.8,310.0
0.28,370.2,291.4
0.27,331.6,302.7
0.26,298.7,335.5
0.25,298.7,333.3
