Proportion_Habitable,Destruction,Species_C,Species_D,Empty,Destroyed
0.25,0.75,354.5,15.5,278.5,1851.5
0.26,0.74,344.0,19.5,272.0,1864.5
0.27,0.73,363.0,17.5,278.0,1841.5
0.28,0.72,391.5,19.5,283.0,1806.0
0.29,0.71,389.0,13.0,291.0,1807.0
0.3,0.7,427.0,8.5,308.5,1756.0
0.31,0.69,471.5,11.5,321.0,1696.0
0.32,0.68,462.0,26.0,312.0,1700.0
0.33,0.67,496.0,12.0,319.0,1673.0
0.34,0.66,500.5,20.0,323.5,1656.0
0.35,0.65,538.5,24.5,329.0,1608.0
0.36,0.64,598.5,19.5,282.5,1599.5
0.37,0.63,588.5,15.0,311.0,1585.5
0.38,0.62,641.5,9.5,311.5,1537.5
0.39,0.61,630.0,17.0,321.5,1531.5
0.4,0.6,716.0,15.5,275.5,1493.0
0.41,0.59,722.0,14.5,305.0,1458.5
0.42,0.58,755.0,13.0,291.5,1440.5
0.43,0.57,732.5,32.5,293.5,1441.5
0.44,0.56,808.0,9.0,274.5,1408.5
0.45,0.55,836.5,15.5,275.0,1373.0
0.46,0.54,864.0,16.0,266.0,1354.0
0.47,0.53,891.5,2.5,263.5,1342.5
0.48,0.52,920.5,6.0,265.5,1308.0
0.49,0.51,944.5,12.0,259.0,1284.5
0.5,0.5,908.5,6.0,297.5,1288.0
0.51,0.49,995.0,16.5,260.5,1228.0
0.52,0.48,1038.0,6.0,264.5,1191.5
0.53,0.47,1021.5,16.5,251.0,1211.0
0.54,0.46,1065.5,27.0,272.0,1135.5
0.55,0.45,1114.5,25.5,235.0,1125.0
0.56,0.44,1116.5,9.0,258.5,1116.0
0.57,0.43,1231.5,4.5,210.0,1054.0
0.58,0.42,1242.0,3.0,219.5,1035.5
0.59,0.41,1293.5,2.0,200.0,1004.5
0.6,0.4,1260.0,0.0,222.5,1017.5
0.61,0.39,1313.5,0.0,219.0,967.5
0.62,0.38,1339.0,0.0,212.5,948.5
0.63,0.37,1321.5,1.0,219.5,958.0
0.64,0.36,1419.5,0.0,204.0,876.5
0.65,0.35,1427.5,5.0,193.5,874.0
0.66,0.34,1434.5,2.5,205.5,857.5
0.67,0.33,1492.0,0.0,183.5,824.5
0.68,0.32,1525.0,0.0,190.0,785.0
0.69,0.31,1537.0,0.0,176.5,786.5
0.7,0.3,1550.0,0.0,213.0,737.0
0.71,0.29,1594.5,0.0,196.5,709.0
0.72,0.28,1581.0,0.0,192.5,726.5
0.73,0.27,1620.5,0.0,191.5,688.0
0.74,0.26,1649.5,0.0,191.0,659.5
0.75,0.25,1679.0,0.0,182.0,639.0
