Proportion_Habitable,Destruction,Species_C,Species_D,Empty,Destroyed
0.25,0.75,166.0,24.0,435.0,1875.0
0.26,0.74,165.0,35.0,450.0,1850.0
0.27,0.73,186.0,61.5,427.5,1825.0
0.28,0.72,206.0,50.5,443.5,1800.0
0.29,0.71,238.0,55.5,431.5,1775.0
0.3,0.7,356.0,40.0,354.0,1750.0
0.31,0.69,309.0,41.0,425.0,1725.0
0.32,0.68,431.0,20.0,349.0,1700.0
0.33,0.67,457.0,27.0,341.0,1675.0
0.34,0.66,474.5,9.0,366.5,1650.0
0.35,0.65,490.0,33.5,351.5,1625.0
0.36,0.64,547.5,24.5,328.0,1600.0
0.37,0.63,617.0,21.0,287.0,1575.0
0.38,0.62,629.5,18.5,302.0,1550.0
0.39,0.61,659.0,12.5,303.5,1525.0
0.4,0.6,701.0,4.0,295.0,1500.0
0.41,0.59,764.5,11.0,249.5,1475.0
0.42,0.58,780.0,8.5,261.5,1450.0
0.43,0.57,822.5,0.0,252.5,1425.0
0.44,0.56,836.0,5.5,258.5,1400.0
0.45,0.55,877.5,0.0,247.5,1375.0
0.46,0.54,912.5,0.0,237.5,1350.0
0.47,0.53,929.5,7.0,238.5,1325.0
0.48,0.52,932.0,0.0,268.0,1300.0
0.49,0.51,995.0,3.5,226.5,1275.0
0.5,0.5,1016.0,6.5,227.5,1250.0
0.51,0.49,1059.5,2.5,213.0,1225.0
0.52,0.48,1090.5,0.0,209.5,1200.0
0.53,0.47,1094.0,3.0,228.0,1175.0
0.54,0.46,1137.5,0.0,212.5,1150.0
0.55,0.45,1163.5,0.0,211.5,1125.0
0.56,0.44,1180.0,2.5,217.5,1100.0
0.57,0.43,1212.0,0.0,213.0,1075.0
0.58,0.42,1256.5,0.0,193.5,1050.0
0.59,0.41,1268.5,0.0,206.5,1025.0
0.6,0.4,1280.0,2.0,218.0,1000.0
0.61,0.39,1318.0,0.0,207.0,975.0
0.62,0.38,1354.5,0.0,195.5,950.0
0.63,0.37,1379.5,0.0,195.5,925.0
0.64,0.36,1404.5,0.0,195.5,900.0
0.65,0.35,1438.5,0.0,186.5,875.0
0.66,0.34,1470.0,0.0,180.0,850.0
0.67,0.33,1475.5,0.0,199.5,825.0
0.68,0.32,1518.5,0.0,181.5,800.0
0.69,0.31,1552.0,0.0,173.0,775.0
0.7,0.3,1557.5,0.0,192.5,750.0
0.71,0.29,1584.5,0.0,190.5,725.0
0.72,0.28,1594.5,0.0,205.5,700.0
0.73,0.27,1644.0,0.0,181.0,675.0
0.74,0.26,1658.5,0.0,191.5,650.0
0.75,0.25,1683.0,0.0,192.0,625.0
