Destruction,Species_C,Species_D,Empty,Destroyed
0.25,1690,0,185,625
0.26,1637,0,213,650
0.27,1604,0,221,675
0.28,1623,0,177,700
0.29,1634,0,141,725
0.3,1568,0,182,750
0.31,1516,0,209,775
0.32,1512,0,188,800
0.33,1514,0,161,825
0.34,1445,0,205,850
0.35,1447,0,178,875
0.36,1414,0,186,900
0.37,1372,0,203,925
0.38,1337,0,213,950
0.39,1312,0,213,975
0.4,1294,0,206,1000
0.41,1268,0,207,1025
0.42,1239,0,211,1050
0.43,1244,0,181,1075
0.44,1191,0,209,1100
0.45,1168,0,207,1125
0.46,1137,0,213,1150
0.47,1111,0,214,1175
0.48,1090,0,210,1200
0.49,1025,0,250,1225
0.5,1062,0,188,1250
0.51,995,0,230,1275
0.52,959,13,228,1300
0.53,923,0,252,1325
0.54,879,4,267,1350
0.55,888,0,237,1375
0.56,816,8,276,1400
0.57,821,5,249,1425
0.58,814,21,215,1450
0.59,723,22,280,1475
0.6,715,8,277,1500
0.61,698,0,277,1525
0.62,591,38,321,1550
0.63,595,0,330,1575
0.64,522,46,332,1600
0.65,516,27,332,1625
0.66,491,24,335,1650
0.67,505,0,320,1675
0.68,438,0,362,1700
0.69,346,34,395,1725
0.7,259,60,431,1750
0.71,298,24,403,1775
0.72,222,50,428,1800
0.73,198,43,434,1825
0.74,200,37,413,1850
0.75,179,20,426,1875
